cell_id	Barcode	ChAT	fru	Gad1	SerT	sNPF	tbh	Ple	VGlut	x	y	umap_1	umap_2	clust_label
539	2120212020	10270	331	1131	590	581121	750	2698599	21555	722.02	1292.0	-0.17900561	6.4804835	11
540	122011221	80179	7359	0	129281	618148	941	89801	2623	719.25	1491.6	1.288679	6.7650394	12
542	122212201	27210	301	2124001	964	523395	1174	716	836	722.09	1000.3	-8.974477	-4.1964316	8
544	122011221	36787	21209	0	171	509783	467	7679	28785	721.25	1366.8	1.369288	7.4099956	12
545	122011221	31465	2138	0	248506	422750	1764	129649	9570	722.07	1519.4	-1.1207573	5.810662	10
546	122011221	6188	65758	0	17	720977	508	168	9198	723.69	1653.5	3.6782522	-1.5559227	13
547	1000001001	71931	155	194973	535	188491	1094	445	42904	718.54	937.41	-1.9966391	5.245272	1
551	122211121	192447	106	2150	676	998618	8634	87842	84601	718.16	852.24	3.3733969	1.7108932	4
552	1110111010	72820	191	66305	465	306173	1264	148941	96052	724.13	908.15	-0.8726369	6.4395304	10
555	122011221	25052	194	137	92	724645	646	53431	62	727.56	1393.4	0.94381386	7.2185297	12
557	122212201	76147	176	1653975	259	444757	701	281	5758	732.36	957.7	-8.661642	-3.5025218	8
558	122212201	108604	289	1639109	465	574193	1043	171	2210	732.22	979.83	-8.637119	-3.4788606	8
560	122011221	48426	83767	0	497	729620	244	19	298	729.58	1546.7	4.9310684	-1.8149664	9
562	2120001000	61637	92	1982757	1079	514150	1458	155259	24766	739.43	883.61	-8.897106	-3.9207528	8
563	122011221	134517	68673	15	104	1219883	721	0	1572	737.84	1569.7	5.322536	-1.992294	9
564	122011221	89366	68591	16	83	1587870	1715	72	18920	734.91	1611.1	5.9040747	-2.4810505	9
566	100001000	29993	779	260351	261	429599	1467	31	774473	734.94	1086.8	-3.2610638	-0.9508195	0
573	2121212221	62894	19	39476	451	266338	399	1601	464578	743.83	924.71	-3.763912	0.7527168	0
578	122011221	7351	66	0	67	281405	70	691	159	743.25	1415.2	-2.576306	5.82332	1
582	122011221	49593	53077	377	6238	1138120	1066	1749	267	745.83	1491.0	4.802982	-1.9053779	9
583	2220212100	73312	87	17393	191	333976	474	1816	15368	745.61	1119.4	-0.35866258	5.211986	7
